ID_customer;avg_ticket;total_amount;ticket_std_dev;purchases;frequency;inactive_days;web_purchases;app_purchases;mon_thur_purchases;frid_sund_purchases;lunch_purchases;evening_purchases;low_ticket;medium_ticket;big_ticket
1; 19.3 ; 38.6 ; 2.3 ;2;49;100;0;2;0;2;0;2;2;0;0
2; 28.3 ; 85.0 ; 3.0 ;3;56;22;0;3;0;3;2;1;2;1;0
3; 41.1 ; 329.1 ; 13.9 ;8;28;62;0;8;0;8;5;3;3;2;3
4; 29.6 ; 650.8 ; 8.2 ;22;16;21;0;22;5;17;6;16;15;7;0
5; 34.5 ; 172.3 ; 17.6 ;5;33;14;0;5;1;4;1;4;2;3;0
6; 20.3 ; 101.3 ; 1.0 ;5;28;25;0;5;4;1;3;2;5;0;0
7; 39.3 ; 78.7 ; 5.3 ;2;19;152;0;2;0;2;2;0;0;2;0
8; 15.6 ; 343.9 ; 2.1 ;22;11;177;0;22;14;8;5;17;22;0;0
9; 47.0 ; 657.6 ; 26.0 ;14;14;18;2;12;11;3;4;10;5;4;5
10; 29.7 ; 89.0 ; 16.9 ;3;27;38;0;3;0;3;2;1;2;1;0
11; 52.2 ; 104.3 ; 7.0 ;2;8;70;0;2;2;0;1;1;0;1;1
12; 15.0 ; 30.0 ; -   ;2;68;47;0;2;0;2;2;0;2;0;0
13; 17.7 ; 265.5 ; 5.8 ;15;22;0;0;15;4;11;6;9;15;0;0
14; 34.8 ; 139.0 ; 18.0 ;4;23;20;0;4;1;3;2;2;1;3;0
15; 39.0 ; 506.9 ; 8.7 ;13;12;82;0;13;4;9;6;7;0;13;0
16; 24.8 ; 74.3 ; 9.0 ;3;5;79;0;3;0;3;0;3;2;1;0
17; 51.4 ; 205.7 ; 2.8 ;4;23;69;0;4;0;4;2;2;0;4;0
18; 30.5 ; 61.1 ; 0.9 ;2;145;43;0;2;0;2;2;0;1;1;0
19; 26.3 ; 52.5 ; 5.1 ;2;20;92;0;2;1;1;0;2;1;1;0
20; 43.3 ; 216.3 ; 9.7 ;5;29;15;1;4;0;5;0;5;0;5;0
21; 25.5 ; 102.1 ; 16.0 ;4;40;163;0;4;1;3;4;0;3;1;0
22; 47.5 ; 570.1 ; 17.4 ;12;19;87;0;12;7;5;11;1;0;8;4
23; 33.5 ; 66.9 ; 4.9 ;2;70;148;0;2;1;1;1;1;1;1;0
24; 16.2 ; 48.6 ; 2.2 ;3;41;160;0;3;3;0;1;2;3;0;0
25; 53.2 ; 106.3 ; -   ;2;3;2;0;2;1;1;2;0;0;2;0
26; 44.9 ; 89.8 ; 12.5 ;2;13;36;0;2;0;2;1;1;0;1;1
27; 57.1 ; 171.2 ; 5.6 ;3;9;100;3;0;1;2;1;2;0;0;3
28; 45.5 ; 227.7 ; 27.1 ;5;5;3;0;5;5;0;1;4;2;1;2
29; 61.2 ; 122.3 ; 36.8 ;2;11;230;0;2;2;0;2;0;1;0;1
30; 36.6 ; 256.1 ; 22.0 ;7;23;14;7;0;3;4;5;2;2;3;2
31; 15.0 ; 45.0 ; -   ;3;30;77;0;3;1;2;1;2;3;0;0
32; 51.3 ; 153.9 ; 16.4 ;3;57;188;0;3;3;0;1;2;0;2;1
33; 47.0 ; 141.0 ; 0.4 ;3;151;99;2;1;0;3;3;0;0;3;0
